Date,Open,High,Low,Close,Volume
13-Dec-07,347.81,348.46,340.26,346.68,-
12-Dec-07,356.64,356.80,343.91,349.33,-
11-Dec-07,359.61,360.14,349.04,349.25,-
10-Dec-07,357.64,362.04,356.64,358.85,-
7-Dec-07,357.14,358.64,354.89,357.08,-
6-Dec-07,348.55,357.92,348.16,357.27,-
5-Dec-07,346.02,349.12,343.41,348.91,-
4-Dec-07,338.82,345.65,338.22,341.74,-
3-Dec-07,345.16,347.15,340.23,340.42,-
30-Nov-07,355.14,355.17,340.71,346.15,-
29-Nov-07,345.03,351.04,343.54,348.15,-
28-Nov-07,340.71,346.80,335.73,345.78,-
27-Nov-07,337.06,337.88,324.80,336.45,-
26-Nov-07,339.80,346.40,332.20,332.70,-
23-Nov-07,334.66,338.80,333.72,338.01,-
21-Nov-07,321.56,334.65,320.72,329.93,-
20-Nov-07,317.92,329.22,316.12,323.95,-
19-Nov-07,314.48,318.07,308.94,312.61,-
16-Nov-07,316.65,317.43,307.70,316.50,-
15-Nov-07,318.97,323.43,311.69,314.51,-
14-Nov-07,336.30,337.41,317.82,320.52,-
13-Nov-07,322.17,330.13,315.72,329.94,-
12-Nov-07,328.54,334.63,312.79,315.72,-
9-Nov-07,337.55,340.60,330.27,331.65,-
8-Nov-07,366.93,367.08,338.25,346.57,-
7-Nov-07,370.19,373.25,361.21,366.10,-
6-Nov-07,368.41,370.52,362.14,370.52,-
5-Nov-07,353.14,364.75,352.68,362.46,-
2-Nov-07,354.90,356.43,348.32,355.27,-
1-Nov-07,351.04,356.50,350.54,351.25,-
31-Oct-07,349.99,353.15,347.67,353.15,-
30-Oct-07,338.42,349.61,338.42,347.04,-
29-Oct-07,338.55,339.66,335.71,339.28,-
26-Oct-07,336.68,337.93,333.70,336.96,-
25-Oct-07,339.00,339.15,331.44,333.92,-
24-Oct-07,336.02,338.40,329.45,337.57,-
23-Oct-07,330.29,338.46,329.67,337.55,-
22-Oct-07,319.02,327.17,317.82,325.05,-
19-Oct-07,326.95,328.92,321.29,322.03,-
18-Oct-07,317.39,320.36,313.94,319.49,-
17-Oct-07,314.91,316.68,310.48,316.42,-
16-Oct-07,308.94,312.65,305.69,307.69,-
15-Oct-07,318.92,319.61,307.47,309.74,-
12-Oct-07,311.68,318.88,308.81,318.38,-
11-Oct-07,316.50,320.38,304.20,310.69,-
10-Oct-07,310.37,312.53,308.09,312.38,-
9-Oct-07,307.25,311.58,303.89,307.28,-
